"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"02/25/2013 00:00:00","EST","CAPITL",61757,1164.6
"02/25/2013 00:00:00","EST","CENTRL",61754,1691.1
"02/25/2013 00:00:00","EST","DUNWOD",61760,576.1
"02/25/2013 00:00:00","EST","GENESE",61753,959.8
"02/25/2013 00:00:00","EST","HUD VL",61758,908.8
"02/25/2013 00:00:00","EST","LONGIL",61762,1970.7
"02/25/2013 00:00:00","EST","MHK VL",61756,855.2
"02/25/2013 00:00:00","EST","MILLWD",61759,290.6
"02/25/2013 00:00:00","EST","N.Y.C.",61761,4905.2
"02/25/2013 00:00:00","EST","NORTH",61755,758.2
"02/25/2013 00:00:00","EST","WEST",61752,1595.8
"02/25/2013 01:00:00","EST","CAPITL",61757,1131.3
"02/25/2013 01:00:00","EST","CENTRL",61754,1660.9
"02/25/2013 01:00:00","EST","DUNWOD",61760,548.2
"02/25/2013 01:00:00","EST","GENESE",61753,929.9
"02/25/2013 01:00:00","EST","HUD VL",61758,873.8
"02/25/2013 01:00:00","EST","LONGIL",61762,1875.4
"02/25/2013 01:00:00","EST","MHK VL",61756,842.8
"02/25/2013 01:00:00","EST","MILLWD",61759,279.9
"02/25/2013 01:00:00","EST","N.Y.C.",61761,4670.6
"02/25/2013 01:00:00","EST","NORTH",61755,754
"02/25/2013 01:00:00","EST","WEST",61752,1556.7
"02/25/2013 02:00:00","EST","CAPITL",61757,1123.1
"02/25/2013 02:00:00","EST","CENTRL",61754,1658
"02/25/2013 02:00:00","EST","DUNWOD",61760,530.4
"02/25/2013 02:00:00","EST","GENESE",61753,918.4
"02/25/2013 02:00:00","EST","HUD VL",61758,863.4
"02/25/2013 02:00:00","EST","LONGIL",61762,1826.2
"02/25/2013 02:00:00","EST","MHK VL",61756,824.3
"02/25/2013 02:00:00","EST","MILLWD",61759,277.1
"02/25/2013 02:00:00","EST","N.Y.C.",61761,4532.2
"02/25/2013 02:00:00","EST","NORTH",61755,746.5
"02/25/2013 02:00:00","EST","WEST",61752,1548.6
"02/25/2013 03:00:00","EST","CAPITL",61757,1134.5
"02/25/2013 03:00:00","EST","CENTRL",61754,1656.9
"02/25/2013 03:00:00","EST","DUNWOD",61760,524
"02/25/2013 03:00:00","EST","GENESE",61753,917.8
"02/25/2013 03:00:00","EST","HUD VL",61758,863.7
"02/25/2013 03:00:00","EST","LONGIL",61762,1818.9
"02/25/2013 03:00:00","EST","MHK VL",61756,818.4
"02/25/2013 03:00:00","EST","MILLWD",61759,276.9
"02/25/2013 03:00:00","EST","N.Y.C.",61761,4482.3
"02/25/2013 03:00:00","EST","NORTH",61755,744.5
"02/25/2013 03:00:00","EST","WEST",61752,1551.1
"02/25/2013 04:00:00","EST","CAPITL",61757,1160.1
"02/25/2013 04:00:00","EST","CENTRL",61754,1687.9
"02/25/2013 04:00:00","EST","DUNWOD",61760,532.3
"02/25/2013 04:00:00","EST","GENESE",61753,944
"02/25/2013 04:00:00","EST","HUD VL",61758,883.7
"02/25/2013 04:00:00","EST","LONGIL",61762,1862.2
"02/25/2013 04:00:00","EST","MHK VL",61756,842.6
"02/25/2013 04:00:00","EST","MILLWD",61759,283.4
"02/25/2013 04:00:00","EST","N.Y.C.",61761,4517.9
"02/25/2013 04:00:00","EST","NORTH",61755,752
"02/25/2013 04:00:00","EST","WEST",61752,1580
"02/25/2013 05:00:00","EST","CAPITL",61757,1254.2
"02/25/2013 05:00:00","EST","CENTRL",61754,1801.4
"02/25/2013 05:00:00","EST","DUNWOD",61760,571.8
"02/25/2013 05:00:00","EST","GENESE",61753,1030
"02/25/2013 05:00:00","EST","HUD VL",61758,957.5
"02/25/2013 05:00:00","EST","LONGIL",61762,2009.7
"02/25/2013 05:00:00","EST","MHK VL",61756,920.9
"02/25/2013 05:00:00","EST","MILLWD",61759,312
"02/25/2013 05:00:00","EST","N.Y.C.",61761,4805.3
"02/25/2013 05:00:00","EST","NORTH",61755,770.4
"02/25/2013 05:00:00","EST","WEST",61752,1671.8
"02/25/2013 06:00:00","EST","CAPITL",61757,1422.3
"02/25/2013 06:00:00","EST","CENTRL",61754,2062.3
"02/25/2013 06:00:00","EST","DUNWOD",61760,638
"02/25/2013 06:00:00","EST","GENESE",61753,1165.6
"02/25/2013 06:00:00","EST","HUD VL",61758,1067.4
"02/25/2013 06:00:00","EST","LONGIL",61762,2254.5
"02/25/2013 06:00:00","EST","MHK VL",61756,1056.9
"02/25/2013 06:00:00","EST","MILLWD",61759,357.6
"02/25/2013 06:00:00","EST","N.Y.C.",61761,5328.3
"02/25/2013 06:00:00","EST","NORTH",61755,804
"02/25/2013 06:00:00","EST","WEST",61752,1836.1
