"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2013/01/01 00:00:00","CAPITL","1196","5"
"2013/01/01 00:00:00","CENTRL","1630","5"
"2013/01/01 00:00:00","DUNWOD","633","5"
"2013/01/01 00:00:00","GENESE","962","5"
"2013/01/01 00:00:00","HUD VL","1024","5"
"2013/01/01 00:00:00","LONGIL","2244","5"
"2013/01/01 00:00:00","MHK VL","818","5"
"2013/01/01 00:00:00","MILLWD","344","5"
"2013/01/01 00:00:00","N.Y.C.","5246","5"
"2013/01/01 00:00:00","NORTH","782","5"
"2013/01/01 00:00:00","WEST","1668","5"
"2013/01/01 01:00:00","CAPITL","1139","6"
"2013/01/01 01:00:00","CENTRL","1539","6"
"2013/01/01 01:00:00","DUNWOD","608","6"
"2013/01/01 01:00:00","GENESE","906","6"
"2013/01/01 01:00:00","HUD VL","984","6"
"2013/01/01 01:00:00","LONGIL","2112","6"
"2013/01/01 01:00:00","MHK VL","767","6"
"2013/01/01 01:00:00","MILLWD","324","6"
"2013/01/01 01:00:00","N.Y.C.","5092","6"
"2013/01/01 01:00:00","NORTH","762","6"
"2013/01/01 01:00:00","WEST","1589","6"
"2013/01/01 02:00:00","CAPITL","1092","7"
"2013/01/01 02:00:00","CENTRL","1473","7"
"2013/01/01 02:00:00","DUNWOD","586","7"
"2013/01/01 02:00:00","GENESE","854","7"
"2013/01/01 02:00:00","HUD VL","948","7"
"2013/01/01 02:00:00","LONGIL","1988","7"
"2013/01/01 02:00:00","MHK VL","739","7"
"2013/01/01 02:00:00","MILLWD","312","7"
"2013/01/01 02:00:00","N.Y.C.","4907","7"
"2013/01/01 02:00:00","NORTH","775","7"
"2013/01/01 02:00:00","WEST","1526","7"
"2013/01/01 03:00:00","CAPITL","1066","8"
"2013/01/01 03:00:00","CENTRL","1440","8"
"2013/01/01 03:00:00","DUNWOD","567","8"
"2013/01/01 03:00:00","GENESE","835","8"
"2013/01/01 03:00:00","HUD VL","929","8"
"2013/01/01 03:00:00","LONGIL","1906","8"
"2013/01/01 03:00:00","MHK VL","727","8"
"2013/01/01 03:00:00","MILLWD","307","8"
"2013/01/01 03:00:00","N.Y.C.","4744","8"
"2013/01/01 03:00:00","NORTH","777","8"
"2013/01/01 03:00:00","WEST","1491","8"
"2013/01/01 04:00:00","CAPITL","1063","9"
"2013/01/01 04:00:00","CENTRL","1454","9"
"2013/01/01 04:00:00","DUNWOD","554","9"
"2013/01/01 04:00:00","GENESE","833","9"
"2013/01/01 04:00:00","HUD VL","927","9"
