month,day,year,hour,time.zone,region.name,PTID,realized.integrated.load,day.+0.forecast,day.+0.error,day.+1.forecast,day.+1.error,day.+2.forecast,day.+2.error,day.+3.forecast,day.+3.error,day.+4.forecast,day.+4.error,day.+5.forecast,day.+5.error
12,1,2007,000,EST,CAPITL,61757,1093.4,1063,-30.4,1141,47.6,1139,45.6,1184,90.6,1212,118.6,1225,131.6
12,1,2007,000,EST,CENTRL,61754,1757,1629,-128,1664,-93,1683,-74,1743,-14,1757,0,1766,9
12,1,2007,000,EST,DUNWOD,61760,	575.5,	555,	-20.5,	561,	-14.5,	549,	-26.5,	567,	-8.5,	550,		-25.5,	552,		-23.5
12,1,2007,000,EST,GENESE,61753,		1005,	937,	-68,		962,	-43,		957,	-48,		996,	-9,	1000,	-5,		1000,	-5
12,1,2007,000,EST,HUD_VL,61758,		1059,	1011,-48,		1048,-11,		1011,-48,		1025,-34,	1041,	-18,		1053,	-6
12,1,2007,000,EST,LONGIL,61762,2076.1,2080,3.9,2191,114.9,2125,48.9,2110,33.9,2138,61.9,2137,60.9
12,1,2007,000,EST,MHK_VL,61756,774.3,704,-70.3,726,-48.3,717,-57.3,753,-21.3,763,-11.3,771,-3.3
12,1,2007,000,EST,MILLWD,61759,249.1,263,13.9,272,22.9,256,6.9,279,29.9,275,25.9,281,31.9
12,1,2007,000,EST,NYC,61761,5078.8,5042,-36.8,5084,5.2,5077,-1.8,5147,68.2,5194,115.2,5174,95.2
12,1,2007,000,EST,NORTH,61755,794.8,776,-18.8,787,-7.8,765,-29.8,766,-28.8,764,-30.8,775,-19.8
12,1,2007,000,EST,WEST,61752,1729.6,1656,-73.6,1636,-93.6,1631,-98.6,1709,-20.6,1723,-6.6,1729,-0.6
12,1,2007,100,EST,CAPITL,61757,1052.6,1017,-35.6,1090,37.4,1092,39.4,1146,93.4,1168,115.4,1186,133.4
12,1,2007,100,EST,CENTRL,61754,1711.6,1558,-153.6,1591,-120.6,1615,-96.6,1674,-37.6,1685,-26.6,1694,-17.6
12,1,2007,100,EST,DUNWOD,61760,542.4,528,-14.4,531,-11.4,519,-23.4,536,-6.4,521,-21.4,523,-19.4
12,1,2007,100,EST,GENESE,61753,972.7,902,-70.7,909,-63.7,905,-67.7,943,-29.7,943,-29.7,944,-28.7
12,1,2007,100,EST,HUD_VL,61758,1014.2,978,-36.2,995,-19.2,945,-69.2,969,-45.2,994,-20.2,1002,-12.2
12,1,2007,100,EST,LONGIL,61762,1945.8,1962,16.2,2012,66.2,1919,-26.8,1928,-17.8,1968,22.2,1957,11.2
12,1,2007,100,EST,MHK_VL,61756,764.8,658,-106.8,681,-83.8,676,-88.8,712,-52.8,721,-43.8,729,-35.8
12,1,2007,100,EST,MILLWD,61759,224.9,252,27.1,262,37.1,236,11.1,259,34.1,267,42.1,269,44.1
12,1,2007,100,EST,NYC,61761,4804.1,4816,11.9,4867,62.9,4796,-8.1,4873,68.9,4917,112.9,4884,79.9
12,1,2007,100,EST,NORTH,61755,787.4,766,-21.4,774,-13.4,751,-36.4,753,-34.4,754,-33.4,770,-17.4
12,1,2007,100,EST,WEST,61752,1675.8,1599,-76.8,1565,-110.8,1569,-106.8,1637,-38.8,1652,-23.8,1660,-15.8
12,1,2007,200,EST,CAPITL,61757,1030.7,983,-47.7,1051,20.3,1060,29.3,1116,85.3,1135,104.3,1154,123.3
12,1,2007,200,EST,CENTRL,61754,1684.6,1516,-168.6,1548,-136.6,1579,-105.6,1635,-49.6,1640,-44.6,1654,-30.6
12,1,2007,200,EST,DUNWOD,61760,519.3,509,-10.3,509,-10.3,501,-18.3,516,-3.3,504,-15.3,505,-14.3
12,1,2007,200,EST,GENESE,61753,953.3,892,-61.3,890,-63.3,896,-57.3,929,-24.3,928,-25.3,928,-25.3
12,1,2007,200,EST,HUD_VL,61758,989.3,956,-33.3,964,-25.3,913,-76.3,941,-48.3,967,-22.3,975,-14.3
12,1,2007,200,EST,LONGIL,61762,1864,1902,38,1915,51,1815,-49,1844,-20,1887,23,1874,10
12,1,2007,200,EST,MHK_VL,61756,755.6,652,-103.6,674,-81.6,678,-77.6,713,-42.6,720,-35.6,728,-27.6
12,1,2007,200,EST,MILLWD,61759,210.8,252,41.2,260,49.2,236,25.2,260,49.2,267,56.2,267,56.2
12,1,2007,200,EST,NYC,61761,4624.2,4656,31.8,4709,84.8,4614,-10.2,4705,80.8,4740,115.8,4704,79.8
12,1,2007,200,EST,NORTH,61755,786.9,760,-26.9,766,-20.9,745,-41.9,745,-41.9,748,-38.9,764,-22.9
12,1,2007,200,EST,WEST,61752,1641.3,1573,-68.3,1532,-109.3,1546,-95.3,1607,-34.3,1624,-17.3,1630,-11.3
12,1,2007,300,EST,CAPITL,61757,1028.2,973,-55.2,1036,7.8,1057,28.8,1114,85.8,1133,104.8,1153,124.8
12,1,2007,300,EST,CENTRL,61754,1675.2,1509,-166.2,1531,-144.2,1582,-93.2,1633,-42.2,1638,-37.2,1655,-20.2
12,1,2007,300,EST,DUNWOD,61760,508.7,495,-13.7,493,-15.7,488,-20.7,503,-5.7,494,-14.7,493,-15.7
12,1,2007,300,EST,GENESE,61753,947.3,886,-61.3,878,-69.3,898,-49.3,928,-19.3,926,-21.3,926,-21.3
12,1,2007,300,EST,HUD_VL,61758,978.6,949,-29.6,949,-29.6,909,-69.6,937,-41.6,963,-15.6,973,-5.6
12,1,2007,300,EST,LONGIL,61762,1827.8,1871,43.2,1863,35.2,1772,-55.8,1812,-15.8,1857,29.2,1842,14.2
12,1,2007,300,EST,MHK_VL,61756,751.1,651,-100.1,672,-79.1,687,-64.1,719,-32.1,724,-27.1,734,-17.1
12,1,2007,300,EST,MILLWD,61759,210.5,254,43.5,260,49.5,239,28.5,264,53.5,270,59.5,270,59.5
12,1,2007,300,EST,NYC,61761,4535.6,4565,29.4,4619,83.4,4539,3.4,4629,93.4,4657,121.4,4615,79.4
12,1,2007,300,EST,NORTH,61755,783.5,759,-24.5,761,-22.5,746,-37.5,744,-39.5,750,-33.5,768,-15.5
12,1,2007,300,EST,WEST,61752,1626,1561,-65,1512,-114,1548,-78,1602,-24,1617,-9,1623,-3
12,1,2007,400,EST,CAPITL,61757,1038.5,986,-52.5,1032,-6.5,1094,55.5,1148,109.5,1166,127.5,1189,150.5
12,1,2007,400,EST,CENTRL,61754,1699,1520,-179,1521,-178,1638,-61,1682,-17,1685,-14,1701,2
12,1,2007,400,EST,DUNWOD,61760,505,480,-25,474,-31,485,-20,500,-5,492,-13,491,-14
